x y z
-0.05 -0.05 0.000617288932533643
-0.049 -0.05 0.000607532817019666
-0.048 -0.05 0.000597689072698509
-0.047 -0.05 0.000587756101756618
-0.046 -0.05 0.000577732235461424
-0.045 -0.05 0.000567929658817067
-0.044 -0.05 0.000558417574954387
-0.043 -0.05 0.000548820789990449
-0.042 -0.05 0.000539137740230651
-0.041 -0.05 0.000529366791286702
-0.04 -0.05 0.000519506233607539
-0.039 -0.05 0.000509839965639665
-0.038 -0.05 0.00050052839441482
-0.037 -0.05 0.000491134074038791
-0.036 -0.05 0.000481655424070575
-0.035 -0.05 0.000472090790302438
-0.034 -0.05 0.000462438439995234
-0.033 -0.05 0.000452950603947981
-0.032 -0.05 0.000443888047707251
-0.031 -0.05 0.00043474537865941
-0.03 -0.05 0.000425521022466003
-0.029 -0.05 0.000416213329268324
-0.028 -0.05 0.000406820568722302
-0.027 -0.05 0.000397559508681654
-0.026 -0.05 0.00038880129294408
-0.025 -0.05 0.000379966434982949
-0.024 -0.05 0.000371053397566091
-0.023 -0.05 0.000362060568103657
-0.022 -0.05 0.000352986253631994
-0.021 -0.05 0.000344007522719052
-0.02 -0.05 0.000335616734566027
-0.019 -0.05 0.000327153772046934
-0.018 -0.05 0.000318617174807266
-0.017 -0.05 0.000310005409853112
-0.016 -0.05 0.000301316866691945
-0.015 -0.05 0.000292684231657641
-0.014 -0.05 0.000284732586241697
-0.013 -0.05 0.000276714389760415
-0.012 -0.05 0.000268628306470194
-0.011 -0.05 0.000260472933813319
-0.01 -0.05 0.000252246797971929
-0.009 -0.05 0.000244033106227859
-0.008 -0.05 0.000236601537592905
-0.007 -0.05 0.000229110315291999
-0.00600000000000001 -0.05 0.000221558280529528
-0.005 -0.05 0.00021394421686381
-0.004 -0.05 0.000206266846444145
-0.003 -0.05 0.000198554481887183
-0.002 -0.05 0.000191733121722277
-0.001 -0.05 0.000184860300976213
0 -0.05 0.000177935087585392
0.001 -0.05 0.000171260947541097
0.002 -0.05 0.000164533085986466
0.003 -0.05 0.000157750190427359
0.004 -0.05 0.000151913586901213
0.005 -0.05 0.000146066817845436
0.006 -0.05 0.000140177921062405
0.007 -0.05 0.000134245987725289
0.008 -0.05 0.000128270071367899
0.009 -0.05 0.000122249185743494
0.01 -0.05 0.000117164683189491
0.011 -0.05 0.000112146318240466
0.012 -0.05 0.000107095971423502
0.013 -0.05 0.000102013042959603
0.014 -0.05 9.68969106766691e-05
0.015 -0.05 9.17469288748004e-05
0.016 -0.05 8.75154918506647e-05
0.017 -0.05 8.34319018458666e-05
0.018 -0.05 7.93266935107758e-05
0.019 -0.05 7.51995468334705e-05
0.02 -0.05 7.10501315446118e-05
0.021 -0.05 6.68781066816745e-05
0.022 -0.05 6.35965088438342e-05
0.023 -0.05 6.05475379099362e-05
0.024 -0.05 5.74863420969719e-05
0.025 -0.05 5.44128060191988e-05
0.026 -0.05 5.13268112703935e-05
0.027 -0.05 4.82282363250343e-05
0.028 -0.05 4.59794941785332e-05
0.029 -0.05 4.40479530283144e-05
0.03 -0.05 4.21111788260136e-05
0.031 -0.05 4.01691603056606e-05
0.032 -0.05 3.82218858777466e-05
0.033 -0.05 3.62693436209396e-05
0.034 -0.05 3.51121072379801e-05
0.035 -0.05 3.43526264491864e-05
0.036 -0.05 3.35911650763611e-05
0.037 -0.05 3.28277312132918e-05
0.038 -0.05 3.20623330010093e-05
0.039 -0.05 3.12949786273046e-05
0.04 -0.05 3.12543902913076e-05
