x y z
2.25 -2.1 -0.0337917405255899
2.4 -2.1 -0.0352924987465923
2.55 -2.1 -0.0368215462747262
2.7 -2.1 -0.0383785430453594
2.85 -2.1 -0.0399631392578642
3 -2.1 -0.0415749756944717
-3 -1.95 0.0108250948139245
-2.85 -1.95 0.0106694634254003
-2.7 -1.95 0.0104117175335846
-2.55 -1.95 0.010050280900056
-2.4 -1.95 0.00958368515547681
-2.25 -1.95 0.00901057602657973
-2.1 -1.95 0.00832971931205095
-1.95 -1.95 0.00754000656616993
-1.8 -1.95 0.00664046044972599
-1.65 -1.95 0.00563023970880938
-1.5 -1.95 0.00450864374359417
-1.35 -1.95 0.00327511673116632
-1.2 -1.95 0.00192925126881349
-1.05 -1.95 0.000470791506964829
-0.9 -1.95 -0.001100364255879
-0.75 -1.95 -0.00278416154037731
-0.6 -1.95 -0.00458038823605722
-0.45 -1.95 -0.00648867374970175
-0.3 -1.95 -0.00850848876427546
-0.15 -1.95 -0.0106391456157068
0 -1.95 -0.0128797992901906
0.15 -1.95 -0.0138523193639768
0.3 -1.95 -0.014856977608893
0.45 -1.95 -0.0158936209260431
0.6 -1.95 -0.016962082966329
0.75 -1.95 -0.0180621842613781
0.9 -1.95 -0.0191937323694644
1.05 -1.95 -0.0203565220361548
1.2 -1.95 -0.0215503353693771
1.35 -1.95 -0.0227749420285754
1.5 -1.95 -0.0240300994275877
1.65 -1.95 -0.0253155529508504
1.8 -1.95 -0.0266310361825085
1.95 -1.95 -0.0279762711479828
2.1 -1.95 -0.0293509685675182
2.25 -1.95 -0.0307548281212179
2.4 -1.95 -0.0321875387250433
2.55 -1.95 -0.0336487788172412
2.7 -1.95 -0.0351382166546388
2.85 -1.95 -0.0366555106182362
3 -1.95 -0.0382003095275041
-3 -1.8 0.00931480278844543
-2.85 -1.8 0.0093210792692523
-2.7 -1.8 0.00922634509654829
-2.55 -1.8 0.00902896540304743
-2.4 -1.8 0.00872741085753426
-2.25 -1.8 0.00832026397536845
-2.1 -1.8 0.00780622518841922
-1.95 -1.8 0.00718411863312185
-1.8 -1.8 0.00645289761593781
-1.65 -1.8 0.0056116497164922
-1.5 -1.8 0.00465960149009303
